Comment,Sentiment,Like,Haha,Angry,Love,Care,Sad,Wow
"হায়রে ধান্দাবাজ 
পাবলিকের ইমোশন নিয়ে খেলা",Negative,103,420,89,8,2,4,0
আমি জানতাম এই রকম কিছু হবে  কারণ বাংলাদেশের মানুষ কথায় কথায় ট্রল করে,Neutral,43,161,0,2,1,0,0
জানতাম এটাই বলবেন,Neutral,4,6,0,0,0,0,0
নাটক তো ভালোই সিখছেন,Neutral,12,13,0,0,0,0,0
ভাই আমি তো বিকাশ চালাই,Positive,9,33,1,1,0,0,0
তা হলে এই সেই খেলা,Negative,13,50,0,0,0,0,0
আগে বুঝে গেছি আপনি এটাই বলবেন,Negative,8,11,0,0,0,0,0
তাহলে এখন খেলা হবে নগদে বাকিতে আর না,Positive,24,149,0,0,0,0,0
"গতকাল বিসিবির ঘুম কেড়ে নেওয়া হয়েছিল এই স্ট্যাটাসে কারনে 
আর আজকে বলতেছেন নগদ খেলবে",Neutral,15,72,0,0,0,0,1
বেটা ভয় পাইছিলাম,Positive,16,55,0,2,0,0,0
আর কত্ত খেলবো,Positive,21,32,1,2,0,0,0
বাহ অসাধারণ একটা ডেলিভারি,Neutral,10,14,0,0,1,0,0
সাকিব তুমি মিরজাফর,Negative,50,140,54,1,0,0,0
এটাই সেই কথা আমি খেলবো না,Neutral,11,10,0,0,0,0,0
"ধন্যবাদ 
আবার আমাদের এরকম বিনোদন দিয়েন",Positive,8,10,0,0,0,0,0
খেলবে এবার নগদ,Positive,9,5,0,0,0,0,0
ভালোবাসার আর এক নাম বিকাশ,Positive,11,33,0,1,0,0,0
রাতের খেলা তাহলে দিনে এভাবে খেলে দিল,Positive,10,68,0,1,0,0,0
আমরা জানতাম এমন কিছুই হবে,Neutral,11,4,0,0,0,0,0
সেটা আগে থেকেই জানতাম এখন খেলবে নগদ,Neutral,12,5,0,0,0,0,0
ভাই আপনি সিনেমায় কবে আসবেন,Positive,10,30,0,0,1,0,0
উফফ,Neutral,4,2,0,0,0,0,0
কে খেলবে সেটা দেখে আমি হতাশ,Negative,8,5,0,0,0,0,0
আগেই বলছিলাম সবই টাকা কামানোর ধান্ধাবিজ্ঞাপন,Negative,1,0,0,0,0,0,0
এটাই ভেবেছিলাম প্রোমোশন আর আমাদের সাকিব ভাই একসুত্রে গাথা৷,Negative,13,7,0,0,0,0,0
দূর মিয়া আমি আরো অন্য কিছু ভাব ছিলাম,Neutral,13,5,0,0,0,0,1
আসলে ভাই তুমি এর জন্য বিশ্বা সেরা অলরাউন্ডার,Positive,1,0,0,0,0,0,0
রহস্যের উদঘাটন হলো  শেষমেষ বিঙ্গাপন দিয়ে,Positive,8,6,0,0,0,0,0
ভাই বিশ্ব কাপের টিকেট দরকার,Positive,4,2,0,0,0,0,1
আমি আর পড়ালেখা করবো না,Positive,6,7,0,0,0,0,0
কি কি ভেবেছিলাম আল্লাহ,Neutral,0,0,0,0,0,0,0
এই খেলাই শেষ পর্যন্ত দেখাইলায় সাকিব ভাই,Neutral,0,0,1,0,0,0,0
তাহলে এই কথা,Neutral,7,0,0,0,0,0,0
ভালো হলেন না,Negative,5,1,0,0,0,0,0
কামডা করলো কি,Neutral,4,2,0,0,0,0,0
ও এই বেপার আমি ভাবছিলাম আপনার রিপ্লেসমেন্ট হিসেবে শিশির ভাবী খেলবে ধোঁকা দিলেন ভাই,Positive,5,9,0,0,0,0,0
কামডা করল কিতা আমি ভাবছিলাম পাপন ভাইয়ে মনে হয় খেলবা,Positive,6,2,0,0,0,0,0
আগে বললে তো হতো,Neutral,6,3,0,0,0,0,0
নগদ টু জেনারেল টাকা চুরি হইতেছে আপনি এভাবে নগদ এর স্পন্সর করাটা ঠিক হয়নি আমার পক্ষে,Negative,1,1,0,0,0,0,0
আমি নগদে রিচার্জ করবো নাকরবে কে জানাচ্ছি,Positive,5,3,0,0,0,0,0
এই খেলার কথা বলছিলেন নাকি? আমি তো ভয় পায়ছিলাম,Positive,0,2,0,0,0,0,0
অসাধারণ খেলেছে নগদ,Positive,1,0,0,0,0,0,0
ভাইরে ভাই তুমি একটা জিনিসেই,Positive,5,3,0,0,0,0,0
নগদে গাড়ি সাধারণ মানুষকে দিবে না,Positive,1,0,0,0,0,0,0
কুলসুৃম এর মা অলরেডি খেলার জন্য রেডি হয়ে আছে,Positive,0,0,0,0,0,0,0
সাকিব,Positive,4,0,0,0,0,0,0
ঐ সাকিব্বে আমিত্ সত্যি কইতেছস মনে করছিলামকাইলকার পোস্ট দেইখা ত্ অবাক  অবুক,Positive,3,1,0,0,0,0,0
আমি খেলবনা খেলবে এবার বিকাশ,Positive,7,0,0,0,0,0,0
আপনি যে কমেন্টটি খুজছেন,Neutral,2,4,0,0,0,0,0
অহ আচ্ছা এই ঘটনা,Positive,1,0,0,0,0,0,0
আজ বিকাশ চালাই বলে,Negative,1,0,0,0,0,0,0
আগেই জানতাম খেলবে নগদ কারণ আপনি তো শুধু মাঠে না বিজ্ঞাপনেও খেলেন,Negative,2,0,0,0,0,0,0
কে খেলবে সেটা জানিয়ে দেওয়া হলো,Neutral,0,0,0,0,0,0,0
এবার না হয় জাতি শান্তি পাইলো,Neutral,3,2,0,0,0,0,0
কে খেলবে সেটা দেখতে আসলাম,Positive,5,7,0,0,0,0,0
Nagad কারা পাচ্ছে রিচার্জের বোনাস তা কিন্তু জানানো হচ্ছেনা কতটা সততার সাথে দিচ্ছে,Negative,3,0,0,0,0,0,0
ভাই,Neutral,5,4,0,0,0,0,0
এটার জন্য বলছেন আপনি আর খেলবেন না‍️,Neutral,0,1,0,0,0,0,0
এভাবে আবেগ নিয়া চিনিমিনি,Negative,0,0,0,0,0,0,0
দুরু মিয়া আগে কইবানা পোলাপান রাতের পোষ্ট দেখে কত কিছু করে ফেলছে,Positive,0,1,0,0,0,0,0
আরে ভাই আপনি একটা জিনিস ওই,Positive,7,0,0,0,0,0,0
দূর মিয়া আমি আরো অন্য কিছু ভাব ছিলাম,Neutral,1,0,0,0,0,0,0
আরো আমরা কত কি ভেবেছিলাম আপনাকে আমরা সব সময় ভালোবাসি আর আপনি হলেন ক্রিকেট বিশ্বের প্রাণ আপনি ছাড়া ক্রিকেট অসম্পূর্ণ,Positive,2,0,0,4,0,0,0
এমনে ভয় না দেখাইলেও পারতেন ভাই,Positive,0,1,0,0,0,0,0
মাশাআল্লাহ,Positive,0,0,0,0,0,0,0
তোমায় যে পাবনা নিতে হবে বাসায় জানে?,Negative,0,0,0,0,0,0,0
একটা জাতীয় দলের ক্যাপ্টেন এর কমনসেন্স কোন জায়গায় পৌছালে এইরকম মার্কেটিং করতে পারে তা ভেবে দেখা উচিতবয়স বাড়ার সাথে সাথে তার পেশাদারিত্ব তলানিতে গিয়ে ঠেকেছে এবারো মনে হয় বিশ্বকাপে ডাব্বা মারার পরে বললে লাঞ্চ ভালো ছিল তাই আউট হয়ে গেছি,Negative,1,0,0,0,0,0,0
এটাই দেখার বাকি ছিল,Neutral,1,0,0,0,0,0,0
সাকিবের ব্যাট হাসলে হাসে বাংলাদেশ,Positive,3,0,0,2,0,0,0
আমি জানতাম এমনটা কিছু বলবে,Positive,1,0,0,0,0,0,0
এটাই জানতাম রাতের খেলা এখন দিনেই দেখাইলা বস,Positive,5,1,0,0,0,0,0
নগদে নগদ মার্কেটিং কাকে বলে সেটা সাকিব্বাই ছাড়া আর কেও নায়,Neutral,0,0,0,0,0,0,0
ভাই,Positive,2,0,0,0,0,0,0
বিজ্ঞাপন করবেন ভালো কথা কিন্তু কিছু টাকার লোভে,Negative,0,0,0,0,0,0,0
তোর মনে এই ছিল তোর হিসাব না নিয়ে আমি ফাস নিমু না,Positive,2,1,0,0,0,0,0
খেলা হবে নগদে,Positive,7,0,0,0,0,0,0
যা ভাবছিলাম তাই,Neutral,1,0,0,0,0,0,0
বাহ,Neutral,3,2,0,0,0,1,0
ওহ আচ্ছা,Neutral,0,0,0,0,0,0,0
অনেক উপকার করলেন জানাইয়া,Positive,0,0,0,0,0,0,0
গত রাতের পোস্ট দেখে তো সাকিবিয়ানদের ঘুম হারাম হয়ে গেছিলো,Positive,0,0,0,0,0,0,0
বুকে ব্যথা কমেছে,Positive,0,0,0,0,0,0,0
আমি কিন্ত আগেই বুঝে গেসি এই খেলা সেই খেলা,Positive,0,0,0,0,0,0,0
